file_path,file_name,asset_code,visual_family,title_ar,status,qa_status,source_batch,linked_opportunity_id,link_layer,role,notes
public/assets/execution/visual/VRS-HOME-BED-MAKE-001.webp,VRS-HOME-BED-MAKE-001.webp,VRS-HOME-BED-MAKE-001,BED-MAKE,ترتيب السرير,FINAL,APPROVED_FOR_PILOT,DALILI_VISUAL_BATCH_03,HOME-001-OP001,visual-support-map,canonical,مرتبط عبر طبقة التنفيذ
public/assets/execution/visual/VRS-HOME-ITEMS-ORGANIZE-001.webp,VRS-HOME-ITEMS-ORGANIZE-001.webp,VRS-HOME-ITEMS-ORGANIZE-001,ITEMS-ORGANIZE,ترتيب الأغراض الشخصية,FINAL,APPROVED_FOR_PILOT,DALILI_VISUAL_BATCH_03,HOME-008-OP002,visual-support-map,canonical,مرتبط عبر طبقة التنفيذ
public/assets/execution/visual/VRS-HOME-WASTE-OUT-001.webp,VRS-HOME-WASTE-OUT-001.webp,VRS-HOME-WASTE-OUT-001,WASTE-OUT,إخراج النفايات المنزلية,FINAL,APPROVED_FOR_PILOT,DALILI_VISUAL_BATCH_03,HOME-009-OP003,visual-support-map,canonical,مرتبط عبر طبقة التنفيذ
public/assets/execution/visual/VRS-HOME-WATER-FILL-001.webp,VRS-HOME-WATER-FILL-001.webp,VRS-HOME-WATER-FILL-001,WATER-FILL,تعبئة زجاجة الماء,FINAL,APPROVED_FOR_PILOT,DALILI_VISUAL_BATCH_03,FOOD-008-OP003,visual-support-map,canonical,مرتبط عبر طبقة التنفيذ
public/assets/execution/visual/VRS-HOME-SNACK-PREP-001.webp,VRS-HOME-SNACK-PREP-001.webp,VRS-HOME-SNACK-PREP-001,SNACK-PREP,تجهيز وجبة خفيفة,FINAL,APPROVED_FOR_PILOT,DALILI_VISUAL_BATCH_03,FOOD-009-OP002,visual-support-map,canonical,مختبر في الواجهة
public/assets/execution/visual/VRS-HOME-DISH-UNLOAD-001.webp,VRS-HOME-DISH-UNLOAD-001.webp,VRS-HOME-DISH-UNLOAD-001,DISH-UNLOAD,إخراج الأطباق من غسالة الصحون,FINAL,APPROVED_FOR_PILOT,DALILI_VISUAL_BATCH_03,FOOD-064-OP003,visual-support-map,canonical,مرتبط عبر طبقة التنفيذ
public/assets/execution/visual/VRS-HOME-CLOTHES-FOLD-001.webp,VRS-HOME-CLOTHES-FOLD-001.webp,VRS-HOME-CLOTHES-FOLD-001,CLOTHES-FOLD,طي الملابس,FINAL,APPROVED_FOR_PILOT,DALILI_VISUAL_BATCH_03,CLO-016-OP001,visual-support-map,canonical,مختبر في الواجهة
public/assets/execution/visual/VRS-HOME-CLOSET-ORGANIZE-001.webp,VRS-HOME-CLOSET-ORGANIZE-001.webp,VRS-HOME-CLOSET-ORGANIZE-001,CLOSET-ORGANIZE,ترتيب الملابس بالخزانة,FINAL,APPROVED_FOR_PILOT,DALILI_VISUAL_BATCH_03,CLO-017-OP001,visual-support-map,canonical,مرتبط عبر طبقة التنفيذ
src/assets/meal-option-1.jpg,meal-option-1.jpg,VRS-COMM-MEAL-CHOICE-001,MEAL-CHOICE,خيار الوجبة: دجاج مع بطاطس وفاصولياء,FINAL,APPROVED_FOR_PILOT,DALILI_VISUAL_BATCH_01,COMM-007-OP002,visual-support-map,canonical,أُنتج سابقًا وكان مرتبطًا باستيراد صلب؛ صار يمر عبر الـresolver
src/assets/meal-option-2.jpg,meal-option-2.jpg,VRS-COMM-MEAL-CHOICE-002,MEAL-CHOICE,خيار الوجبة: سلمون مع أرز وبروكلي,FINAL,APPROVED_FOR_PILOT,DALILI_VISUAL_BATCH_01,COMM-007-OP002,visual-support-map,canonical,خيار ثانٍ مكمّل وليس نسخة بديلة
public/assets/execution/pantry/PANTRY_SHELF_01-frame01.webp,PANTRY_SHELF_01-frame01.webp,VRS-HOME-PANTRY-SHELF-FR001,PANTRY-SHELF,ترتيب خزانة المؤن — إخراج العلب,FINAL,APPROVED_FOR_PILOT,DALILI_VISUAL_BATCH_02,HOME-052-OP001,execution-frames+visual-support-map,canonical,يُعرض عبر مشغّل الإطارات
public/assets/execution/pantry/PANTRY_SHELF_01-frame02.webp,PANTRY_SHELF_01-frame02.webp,VRS-HOME-PANTRY-SHELF-FR002,PANTRY-SHELF,ترتيب خزانة المؤن — مسح المساحة,FINAL,APPROVED_FOR_PILOT,DALILI_VISUAL_BATCH_02,HOME-052-OP001,execution-frames+visual-support-map,canonical,يُعرض عبر مشغّل الإطارات
public/assets/execution/pantry/PANTRY_SHELF_01-frame03.webp,PANTRY_SHELF_01-frame03.webp,VRS-HOME-PANTRY-SHELF-FR003,PANTRY-SHELF,ترتيب خزانة المؤن — إعادة العلب,FINAL,APPROVED_FOR_PILOT,DALILI_VISUAL_BATCH_02,HOME-052-OP001,execution-frames+visual-support-map,canonical,يُعرض عبر مشغّل الإطارات
public/assets/execution/pantry/PANTRY_SHELF_01-sheet.webp,PANTRY_SHELF_01-sheet.webp,VRS-HOME-PANTRY-SHELF-SHEET-001,PANTRY-SHELF,ترتيب خزانة المؤن — اللوحة المصدر,SOURCE_BOARD,NOT_IN_PILOT,DALILI_VISUAL_BATCH_02,,none,archive,لوحة مصدر قُطّعت إلى ثلاثة إطارات؛ لا تُعرض
src/assets/act-sleep.jpg,act-sleep.jpg,,UI-DECOR,صورة تصنيف: النوم والراحة,IN_USE_UI,NOT_APPLICABLE,PRE_REPOSITORY_UI,,ui-data.ts,unlinked,UNLINKED_NEEDS_MAPPING — صورة واجهة تزيينية وليست معينًا تنفيذيًا
src/assets/act-tv.jpg,act-tv.jpg,,UI-DECOR,صورة تصنيف: وقت الشاشة,IN_USE_UI,NOT_APPLICABLE,PRE_REPOSITORY_UI,,ui-data.ts,unlinked,UNLINKED_NEEDS_MAPPING — صورة واجهة تزيينية وليست معينًا تنفيذيًا
src/assets/act-plants.jpg,act-plants.jpg,,UI-DECOR,صورة تصنيف: العناية بالنباتات,IN_USE_UI,NOT_APPLICABLE,PRE_REPOSITORY_UI,,ui-data.ts,unlinked,UNLINKED_NEEDS_MAPPING — صورة واجهة تزيينية وليست معينًا تنفيذيًا
src/assets/act-clean.jpg,act-clean.jpg,,UI-DECOR,صورة تصنيف: التنظيف,IN_USE_UI,NOT_APPLICABLE,PRE_REPOSITORY_UI,,ui-data.ts,unlinked,UNLINKED_NEEDS_MAPPING — صورة واجهة تزيينية وليست معينًا تنفيذيًا
src/assets/act-shopping.jpg,act-shopping.jpg,,UI-DECOR,صورة تصنيف: التسوق,IN_USE_UI,NOT_APPLICABLE,PRE_REPOSITORY_UI,,ui-data.ts,unlinked,UNLINKED_NEEDS_MAPPING — صورة واجهة تزيينية وليست معينًا تنفيذيًا
